"","X","hour","temperature","Date","Year","month","day","Day.Of.Week","Weekday","PeakHour","kWh"
"150",150,23,62,"2016-06-19",2016,6,19,6,0,0,107.170377207944
"151",151,0,62,"2016-06-20",2016,6,20,0,1,0,107.170377207944
"152",152,1,62,"2016-06-20",2016,6,20,0,1,0,107.170377207944
"153",153,2,62,"2016-06-20",2016,6,20,0,1,0,107.170377207944
"154",154,3,61,"2016-06-20",2016,6,20,0,1,0,107.170377207944
"155",155,4,61,"2016-06-20",2016,6,20,0,1,0,107.170377207944
"156",156,5,61,"2016-06-20",2016,6,20,0,1,0,107.170377207944
"157",157,6,61,"2016-06-20",2016,6,20,0,1,0,107.170377207944
"158",158,7,63,"2016-06-20",2016,6,20,0,1,1,107.170377207944
"159",159,8,67,"2016-06-20",2016,6,20,0,1,1,107.170377207944
"160",160,9,70,"2016-06-20",2016,6,20,0,1,1,107.170377207944
"161",161,10,73,"2016-06-20",2016,6,20,0,1,1,107.170377207944
"162",162,11,74,"2016-06-20",2016,6,20,0,1,1,107.170377207944
"163",163,12,76,"2016-06-20",2016,6,20,0,1,1,107.170377207944
"164",164,13,76,"2016-06-20",2016,6,20,0,1,1,107.170377207944
"165",165,14,77,"2016-06-20",2016,6,20,0,1,1,107.170377207944
"166",166,15,77,"2016-06-20",2016,6,20,0,1,1,107.170377207944
"167",167,16,76,"2016-06-20",2016,6,20,0,1,1,107.170377207944
"168",168,17,75,"2016-06-20",2016,6,20,0,1,1,107.170377207944
"169",169,18,75,"2016-06-20",2016,6,20,0,1,1,107.170377207944
"170",170,19,74,"2016-06-20",2016,6,20,0,1,1,107.170377207944
"171",171,20,73,"2016-06-20",2016,6,20,0,1,0,107.170377207944
"172",172,21,71,"2016-06-20",2016,6,20,0,1,0,107.170377207944
"173",173,22,71,"2016-06-20",2016,6,20,0,1,0,107.170377207944
"174",174,23,70,"2016-06-20",2016,6,20,0,1,0,107.170377207944
"175",175,0,69,"2016-06-21",2016,6,21,1,1,0,107.170377207944
"176",176,1,68,"2016-06-21",2016,6,21,1,1,0,107.170377207944
"177",177,2,68,"2016-06-21",2016,6,21,1,1,0,107.170377207944
"178",178,3,66,"2016-06-21",2016,6,21,1,1,0,107.170377207944
"179",179,4,66,"2016-06-21",2016,6,21,1,1,0,107.170377207944
"180",180,5,66,"2016-06-21",2016,6,21,1,1,0,107.170377207944
"181",181,6,67,"2016-06-21",2016,6,21,1,1,0,107.170377207944
"182",182,7,69,"2016-06-21",2016,6,21,1,1,1,107.170377207944
"183",183,8,72,"2016-06-21",2016,6,21,1,1,1,107.170377207944
"184",184,9,74,"2016-06-21",2016,6,21,1,1,1,107.170377207944
"185",185,10,77,"2016-06-21",2016,6,21,1,1,1,107.170377207944
"186",186,11,80,"2016-06-21",2016,6,21,1,1,1,107.170377207944
"187",187,12,82,"2016-06-21",2016,6,21,1,1,1,107.170377207944
"188",188,13,83,"2016-06-21",2016,6,21,1,1,1,107.170377207944
"189",189,14,83,"2016-06-21",2016,6,21,1,1,1,107.170377207944
"190",190,15,83,"2016-06-21",2016,6,21,1,1,1,107.170377207944
"191",191,16,81,"2016-06-21",2016,6,21,1,1,1,107.170377207944
"192",192,17,80,"2016-06-21",2016,6,21,1,1,1,107.170377207944
"193",193,18,79,"2016-06-21",2016,6,21,1,1,1,107.170377207944
"194",194,19,78,"2016-06-21",2016,6,21,1,1,1,107.170377207944
"195",195,20,76,"2016-06-21",2016,6,21,1,1,0,107.170377207944
"196",196,21,75,"2016-06-21",2016,6,21,1,1,0,107.170377207944
"197",197,22,73,"2016-06-21",2016,6,21,1,1,0,107.170377207944
"198",198,23,71,"2016-06-21",2016,6,21,1,1,0,107.170377207944
"199",199,0,71,"2016-06-22",2016,6,22,2,1,0,107.170377207944
"200",200,1,69,"2016-06-22",2016,6,22,2,1,0,107.170377207944
"201",201,2,68,"2016-06-22",2016,6,22,2,1,0,107.170377207944
"202",202,3,67,"2016-06-22",2016,6,22,2,1,0,107.170377207944
"203",203,4,67,"2016-06-22",2016,6,22,2,1,0,107.170377207944
"204",204,5,67,"2016-06-22",2016,6,22,2,1,0,107.170377207944
"205",205,6,67,"2016-06-22",2016,6,22,2,1,0,107.170377207944
"206",206,7,69,"2016-06-22",2016,6,22,2,1,1,107.170377207944
"207",207,8,72,"2016-06-22",2016,6,22,2,1,1,107.170377207944
"208",208,9,74,"2016-06-22",2016,6,22,2,1,1,107.170377207944
"209",209,10,76,"2016-06-22",2016,6,22,2,1,1,107.170377207944
"210",210,11,78,"2016-06-22",2016,6,22,2,1,1,107.170377207944
"211",211,12,79,"2016-06-22",2016,6,22,2,1,1,107.170377207944
"212",212,13,80,"2016-06-22",2016,6,22,2,1,1,107.170377207944
"213",213,14,81,"2016-06-22",2016,6,22,2,1,1,107.170377207944
"214",214,15,80,"2016-06-22",2016,6,22,2,1,1,107.170377207944
"215",215,16,79,"2016-06-22",2016,6,22,2,1,1,107.170377207944
"216",216,17,78,"2016-06-22",2016,6,22,2,1,1,107.170377207944
"217",217,18,76,"2016-06-22",2016,6,22,2,1,1,107.170377207944
"218",218,19,75,"2016-06-22",2016,6,22,2,1,1,107.170377207944
"219",219,20,74,"2016-06-22",2016,6,22,2,1,0,107.170377207944
"220",220,21,72,"2016-06-22",2016,6,22,2,1,0,107.170377207944
"221",221,22,70,"2016-06-22",2016,6,22,2,1,0,107.170377207944
"222",222,23,69,"2016-06-22",2016,6,22,2,1,0,107.170377207944
