"","x"
"196",88.4742979927125
"197",78.7763488751685
"198",78.0347281042132
"199",85.8016192625172
"200",133.054813722411
"201",133.507370064335
"202",133.661382128038
"203",132.024128522424
"204",130.983963473249
"205",131.834578852799
"206",131.590531878876
"207",130.251822551481
"208",128.316024667648
"209",129.36566956601
"210",128.225989757429
"211",127.384854227067
"212",126.842262974925
"213",76.4638334429121
"214",75.7222126719568
"215",74.3835033445623
"216",73.0447940171678
"217",98.7957838223172
"218",95.6658088256049
"219",91.0431124377945
"220",88.2116817193019
"221",86.8729723919074
"222",85.7332925833259
"223",82.4042880678006
"224",131.000931779683
"225",128.16950106119
"226",126.830791733796
"227",126.089170962841
"228",126.740756823577
"229",125.203017977369
"230",124.063338168788
"231",120.137245096823
"232",117.007270100111
"233",115.668560772716
"234",112.986402193334
"235",111.647692865939
"236",110.159711399435
"237",60.5773999426745
"238",57.2483954271491
"239",57.7009517690723
"240",56.3622424416778
"241",87.0889702171252
"242",85.7751395795823
"243",82.4212563742053
"244",81.0825470468107
"245",78.2511163283181
"246",75.1211413316058
"247",72.2897106131132
"248",119.841449351227
"249",118.502740023832
"250",115.67130930534
"251",113.586239282396
"252",112.098257815892
"253",110.371440926812
"254",109.3710817814
"255",108.032372454005
"256",106.892692645424
"257",105.404711178919
"258",104.215273990635
"259",101.383843272142
"260",100.045133944747
"261",48.4725272998563
"262",47.1338179724617
"263",45.7951086450672
"264",44.4563993176727
"265",74.9840975743361
"266",71.8541225776238
"267",70.5154132502293
"268",69.1767039228347
"269",67.8379945954402
"270",68.2905509373635
"271",66.9518416099689
"272",114.055763930753
"273",116.001041663775
"274",116.453598005698
"275",117.204698625841
"276",115.268900742007
"277",115.72145708393
"278",115.427652730304
"279",114.536759820239
"280",113.198050492845
"281",110.366619774352
"282",107.23664477764
"283",107.092112563124
"284",103.514321149082
"285",51.4938980868615
"286",50.155188759467
"287",48.8164794320724
"288",45.9850487135798
"289",76.5127469702432
"290",75.1740376428486
"291",73.8353283154541
"292",70.7053533187419
"293",69.3666439913473
"294",68.0279346639528
"295",66.6892253365583
"296",115.58441332666
"297",115.439881112144
"298",116.190981732287
"299",116.344993795991
"300",118.290271529012
"301",120.235549262033
"302",120.688105603957
"303",119.349396276562
"304",116.21942127985
"305",113.387990561357
"306",112.049281233963
"307",108.91930623725
"308",106.087875518758
"309",54.5152688738667
"310",49.8925724860563
