"","X","hour","temperature","Date","year","month","day","DayOfWeek","Weekday","PeakHour","Account","tree.pred"
"114",114,11,67,"6/18/2016",2016,6,18,5,0,1,222,"Optimal"
"115",115,12,67,"6/18/2016",2016,6,18,5,0,1,222,"Optimal"
"116",116,13,68,"6/18/2016",2016,6,18,5,0,1,222,"Optimal"
"117",117,14,68,"6/18/2016",2016,6,18,5,0,1,222,"Optimal"
"118",118,15,69,"6/18/2016",2016,6,18,5,0,1,222,"Optimal"
"119",119,16,69,"6/18/2016",2016,6,18,5,0,1,222,"Optimal"
"120",120,17,69,"6/18/2016",2016,6,18,5,0,1,222,"Optimal"
"121",121,18,67,"6/18/2016",2016,6,18,5,0,1,222,"Optimal"
"122",122,19,65,"6/18/2016",2016,6,18,5,0,1,222,"Optimal"
"123",123,20,63,"6/18/2016",2016,6,18,5,0,0,222,"Optimal"
"124",124,21,62,"6/18/2016",2016,6,18,5,0,0,222,"Optimal"
"125",125,22,61,"6/18/2016",2016,6,18,5,0,0,222,"Optimal"
"126",126,23,61,"6/18/2016",2016,6,18,5,0,0,222,"Optimal"
"127",127,0,60,"6/19/2016",2016,6,19,6,0,0,222,"Optimal"
"128",128,1,60,"6/19/2016",2016,6,19,6,0,0,222,"Optimal"
"129",129,2,59,"6/19/2016",2016,6,19,6,0,0,222,"Optimal"
"130",130,3,58,"6/19/2016",2016,6,19,6,0,0,222,"Optimal"
"131",131,4,57,"6/19/2016",2016,6,19,6,0,0,222,"Optimal"
"132",132,5,56,"6/19/2016",2016,6,19,6,0,0,222,"Optimal"
"133",133,6,57,"6/19/2016",2016,6,19,6,0,0,222,"Optimal"
"134",134,7,60,"6/19/2016",2016,6,19,6,0,1,222,"Optimal"
"135",135,8,63,"6/19/2016",2016,6,19,6,0,1,222,"Optimal"
"136",136,9,66,"6/19/2016",2016,6,19,6,0,1,222,"Optimal"
"137",137,10,68,"6/19/2016",2016,6,19,6,0,1,222,"Optimal"
"138",138,11,70,"6/19/2016",2016,6,19,6,0,1,222,"Optimal"
"139",139,12,71,"6/19/2016",2016,6,19,6,0,1,222,"Optimal"
"140",140,13,70,"6/19/2016",2016,6,19,6,0,1,222,"Optimal"
"141",141,14,69,"6/19/2016",2016,6,19,6,0,1,222,"Optimal"
"142",142,15,69,"6/19/2016",2016,6,19,6,0,1,222,"Optimal"
"143",143,16,68,"6/19/2016",2016,6,19,6,0,1,222,"Optimal"
"144",144,17,68,"6/19/2016",2016,6,19,6,0,1,222,"Optimal"
"145",145,18,66,"6/19/2016",2016,6,19,6,0,1,222,"Optimal"
"146",146,19,65,"6/19/2016",2016,6,19,6,0,1,222,"Optimal"
"147",147,20,62,"6/19/2016",2016,6,19,6,0,0,222,"Optimal"
"148",148,21,62,"6/19/2016",2016,6,19,6,0,0,222,"Optimal"
"149",149,22,62,"6/19/2016",2016,6,19,6,0,0,222,"Optimal"
"150",150,23,62,"6/19/2016",2016,6,19,6,0,0,222,"Optimal"
"151",151,0,62,"6/20/2016",2016,6,20,0,1,0,222,"Optimal"
"152",152,1,62,"6/20/2016",2016,6,20,0,1,0,222,"Optimal"
"153",153,2,62,"6/20/2016",2016,6,20,0,1,0,222,"Optimal"
"154",154,3,61,"6/20/2016",2016,6,20,0,1,0,222,"Optimal"
"155",155,4,61,"6/20/2016",2016,6,20,0,1,0,222,"Optimal"
"156",156,5,61,"6/20/2016",2016,6,20,0,1,0,222,"Optimal"
"157",157,6,61,"6/20/2016",2016,6,20,0,1,0,222,"Optimal"
"158",158,7,63,"6/20/2016",2016,6,20,0,1,1,222,"Optimal"
"159",159,8,67,"6/20/2016",2016,6,20,0,1,1,222,"Optimal"
"160",160,9,70,"6/20/2016",2016,6,20,0,1,1,222,"Optimal"
"161",161,10,73,"6/20/2016",2016,6,20,0,1,1,222,"Optimal"
"162",162,11,74,"6/20/2016",2016,6,20,0,1,1,222,"Optimal"
"163",163,12,76,"6/20/2016",2016,6,20,0,1,1,222,"Optimal"
"164",164,13,76,"6/20/2016",2016,6,20,0,1,1,222,"Optimal"
"165",165,14,77,"6/20/2016",2016,6,20,0,1,1,222,"Optimal"
"166",166,15,77,"6/20/2016",2016,6,20,0,1,1,222,"Optimal"
"167",167,16,76,"6/20/2016",2016,6,20,0,1,1,222,"Optimal"
"168",168,17,75,"6/20/2016",2016,6,20,0,1,1,222,"Optimal"
"169",169,18,75,"6/20/2016",2016,6,20,0,1,1,222,"Optimal"
"170",170,19,74,"6/20/2016",2016,6,20,0,1,1,222,"Optimal"
"171",171,20,73,"6/20/2016",2016,6,20,0,1,0,222,"Optimal"
"172",172,21,71,"6/20/2016",2016,6,20,0,1,0,222,"Optimal"
"173",173,22,71,"6/20/2016",2016,6,20,0,1,0,222,"Optimal"
"174",174,23,70,"6/20/2016",2016,6,20,0,1,0,222,"Optimal"
"175",175,0,69,"6/21/2016",2016,6,21,1,1,0,222,"Optimal"
"176",176,1,68,"6/21/2016",2016,6,21,1,1,0,222,"Optimal"
"177",177,2,68,"6/21/2016",2016,6,21,1,1,0,222,"Optimal"
"178",178,3,66,"6/21/2016",2016,6,21,1,1,0,222,"Optimal"
"179",179,4,66,"6/21/2016",2016,6,21,1,1,0,222,"Optimal"
"180",180,5,66,"6/21/2016",2016,6,21,1,1,0,222,"Optimal"
"181",181,6,67,"6/21/2016",2016,6,21,1,1,0,222,"Optimal"
"182",182,7,69,"6/21/2016",2016,6,21,1,1,1,222,"Optimal"
"183",183,8,72,"6/21/2016",2016,6,21,1,1,1,222,"Optimal"
"184",184,9,74,"6/21/2016",2016,6,21,1,1,1,222,"Optimal"
"185",185,10,77,"6/21/2016",2016,6,21,1,1,1,222,"Optimal"
"186",186,11,80,"6/21/2016",2016,6,21,1,1,1,222,"Optimal"
"187",187,12,82,"6/21/2016",2016,6,21,1,1,1,222,"Optimal"
"188",188,13,83,"6/21/2016",2016,6,21,1,1,1,222,"Optimal"
"189",189,14,83,"6/21/2016",2016,6,21,1,1,1,222,"Optimal"
"190",190,15,83,"6/21/2016",2016,6,21,1,1,1,222,"Optimal"
"191",191,16,81,"6/21/2016",2016,6,21,1,1,1,222,"Optimal"
"192",192,17,80,"6/21/2016",2016,6,21,1,1,1,222,"Optimal"
"193",193,18,79,"6/21/2016",2016,6,21,1,1,1,222,"Optimal"
"194",194,19,78,"6/21/2016",2016,6,21,1,1,1,222,"Optimal"
"195",195,20,76,"6/21/2016",2016,6,21,1,1,0,222,"Optimal"
"196",196,21,75,"6/21/2016",2016,6,21,1,1,0,222,"Optimal"
"197",197,22,73,"6/21/2016",2016,6,21,1,1,0,222,"Optimal"
